,league,season,game,team,player,jersey_number,nation,pos,age,min,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,game_id
,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
5704,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Ederson,31,BRA,GK,30-135,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,aefd7405
5705,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Jack Grealish,10,ENG,LW,28-111,51,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,aefd7405
5706,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Joško Gvardiol,24,CRO,LB,21-341,90,1,1,0,0,1,1,1,100.0,0,1,1,0,0,1,1,0,aefd7405
5707,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Julián Álvarez,19,ARG,FW,23-333,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,aefd7405
5708,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Kyle Walker,2,ENG,RB,33-216,67,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,aefd7405
5709,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Manuel Akanji,25,SUI,"CB,DM",28-164,90,0,0,0,0,0,0,1,0.0,1,1,1,0,1,1,2,0,aefd7405
5710,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Mateo Kovačić,8,CRO,DM,29-238,67,3,2,1,2,0,0,0,,0,1,0,1,0,3,1,0,aefd7405
5711,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Nathan Aké,6,NED,CB,28-315,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,4,0,aefd7405
5712,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Oscar Bobb,52,NOR,LW,20-171,39,1,0,0,0,1,0,0,,0,1,0,1,1,2,0,0,aefd7405
5713,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Phil Foden,47,ENG,AM,23-216,90,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,aefd7405
5714,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Rico Lewis,82,ENG,RB,19-039,23,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,aefd7405
5715,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Rodri,16,ESP,DM,27-191,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,aefd7405
5716,ENG-Premier League,2324,2023-12-30 Manchester City-Sheffield Utd,Manchester City,Rúben Dias,3,POR,CB,26-230,23,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,aefd7405
5969,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Bernardo Silva,20,POR,AM,29-156,68,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,738f8c3e
5970,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Ederson,31,BRA,GK,30-149,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,738f8c3e
5971,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Jeremy Doku,11,BEL,LW,21-231,81,2,1,1,1,0,1,1,100.0,0,1,0,1,0,2,0,0,738f8c3e
5972,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Joško Gvardiol,24,CRO,LB,21-355,90,2,2,1,1,0,0,0,,0,0,0,0,1,3,2,0,738f8c3e
5973,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Julián Álvarez,19,ARG,FW,23-347,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,738f8c3e
5974,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Kevin De Bruyne,17,BEL,AM,32-199,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,738f8c3e
5975,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-230,90,1,1,1,0,0,0,0,,0,1,1,0,2,3,0,0,738f8c3e
5976,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Mateo Kovačić,8,CRO,DM,29-252,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,738f8c3e
5977,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Nathan Aké,6,NED,CB,28-329,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,738f8c3e
5978,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Oscar Bobb,52,NOR,LW,20-185,9,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,738f8c3e
5979,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Phil Foden,47,ENG,RW,23-230,90,1,0,0,1,0,0,0,,0,0,0,0,0,1,0,0,738f8c3e
5980,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Rodri,16,ESP,DM,27-205,90,1,0,0,1,0,0,0,,0,1,1,0,2,3,0,0,738f8c3e
5981,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-244,90,1,0,0,1,0,1,1,100.0,0,5,2,3,0,1,5,0,738f8c3e
5982,ENG-Premier League,2324,2024-01-13 Newcastle Utd-Manchester City,Manchester City,Stefan Ortega,18,GER,GK,31-068,83,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1,738f8c3e
6399,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Ederson,31,BRA,GK,30-167,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,d10aaae8
6400,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Erling Haaland,9,NOR,FW,23-194,20,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,d10aaae8
6401,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Jack Grealish,10,ENG,"LW,AM",28-143,14,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,d10aaae8
6402,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Jeremy Doku,11,BEL,"LW,RW",21-249,90,2,1,0,1,1,1,1,100.0,0,0,0,0,2,4,0,0,d10aaae8
6403,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,John Stones,5,ENG,CB,29-248,90,0,0,0,0,0,0,1,0.0,1,2,2,0,0,0,2,0,d10aaae8
6404,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Joško Gvardiol,24,CRO,LB,22-008,90,1,0,1,0,0,0,1,0.0,1,0,0,0,2,3,0,0,d10aaae8
6405,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Julián Álvarez,19,ARG,"FW,AM",24-000,86,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,d10aaae8
6406,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Kevin De Bruyne,17,BEL,AM,32-217,70,2,2,1,0,1,2,2,100.0,0,0,0,0,0,2,0,0,d10aaae8
6407,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Mateo Kovačić,8,CRO,DM,29-270,4,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,d10aaae8
6408,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Matheus Nunes,27,POR,DM,25-157,90,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0,d10aaae8
6409,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Nathan Aké,6,NED,CB,28-347,90,1,0,1,0,0,0,0,,0,0,0,0,0,1,1,0,d10aaae8
6410,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Phil Foden,47,ENG,RW,23-248,76,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,d10aaae8
6411,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Rico Lewis,82,ENG,RB,19-071,90,2,2,1,0,1,1,2,50.0,1,0,0,0,1,3,2,0,d10aaae8
6412,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Rodri,16,ESP,DM,27-223,86,1,1,0,1,0,1,2,50.0,1,0,0,0,0,1,2,0,d10aaae8
6413,ENG-Premier League,2324,2024-01-31 Manchester City-Burnley,Manchester City,Sergio Gómez,21,ESP,LW,23-149,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,d10aaae8
6794,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Bernardo Silva,20,POR,RM,29-179,70,2,1,0,2,0,0,0,,0,0,0,0,0,2,1,0,2b3630b6
6795,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Ederson,31,BRA,GK,30-172,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,2b3630b6
6796,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-199,85,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,2b3630b6
6797,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Jeremy Doku,11,BEL,RM,21-254,20,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,2b3630b6
6798,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Joško Gvardiol,24,CRO,LB,22-013,90,3,3,2,1,0,2,2,100.0,0,2,1,1,1,4,1,0,2b3630b6
6799,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Julián Álvarez,19,ARG,"CM,FW",24-005,90,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,1,0,2b3630b6
6800,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Kevin De Bruyne,17,BEL,CM,32-222,90,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,0,2b3630b6
6801,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-253,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0,2b3630b6
6802,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Mateo Kovačić,8,CRO,CM,29-275,5,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,2b3630b6
6803,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Nathan Aké,6,NED,CB,28-352,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,7,0,2b3630b6
6804,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Phil Foden,47,ENG,LM,23-253,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,2b3630b6
6805,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Rodri,16,ESP,DM,27-228,90,4,3,1,0,3,2,2,100.0,0,3,0,3,1,5,4,0,2b3630b6
6806,ENG-Premier League,2324,2024-02-05 Brentford-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-267,90,1,1,1,0,0,1,1,100.0,0,4,3,1,1,2,3,0,2b3630b6
6915,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Bernardo Silva,20,POR,CM,29-184,14,2,1,0,2,0,0,0,,0,0,0,0,0,2,0,0,00ea7906
6916,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Ederson,31,BRA,GK,30-177,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,00ea7906
6917,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Erling Haaland,9,NOR,FW,23-204,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,00ea7906
6918,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Jack Grealish,10,ENG,LM,28-153,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,00ea7906
6919,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Jeremy Doku,11,BEL,LM,21-259,86,1,1,1,0,0,1,1,100.0,0,1,0,1,0,1,0,0,00ea7906
6920,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,John Stones,5,ENG,"RB,CB",29-258,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,2,0,00ea7906
6921,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Julián Álvarez,19,ARG,CM,24-010,76,2,1,0,1,1,1,2,50.0,1,0,0,0,0,2,0,0,00ea7906
6922,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Kevin De Bruyne,17,BEL,CM,32-227,34,1,1,0,1,0,1,3,33.3,2,0,0,0,0,1,0,0,00ea7906
6923,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Kyle Walker,2,ENG,RB,33-258,34,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,00ea7906
6924,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Manuel Akanji,25,SUI,"CB,LB",28-206,56,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,00ea7906
6925,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Matheus Nunes,27,POR,CM,25-167,56,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,00ea7906
6926,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Nathan Aké,6,NED,"LB,CB",28-357,90,2,1,1,0,1,2,2,100.0,0,1,0,1,0,2,0,0,00ea7906
6927,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Phil Foden,47,ENG,RM,23-258,90,1,0,0,1,0,1,1,100.0,0,1,0,1,0,1,0,0,00ea7906
6928,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Rodri,16,ESP,DM,27-233,90,2,1,0,1,1,2,6,33.3,4,1,1,0,2,4,1,0,00ea7906
6929,ENG-Premier League,2324,2024-02-10 Manchester City-Everton,Manchester City,Rúben Dias,3,POR,CB,26-272,90,1,0,0,1,0,1,1,100.0,0,0,0,0,1,2,1,0,00ea7906
7216,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Bernardo Silva,20,POR,CM,29-191,27,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,78fb7fc2
7217,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Ederson,31,BRA,GK,30-184,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,78fb7fc2
7218,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Erling Haaland,9,NOR,FW,23-211,90,1,0,0,0,1,0,0,,0,0,0,0,0,1,0,0,78fb7fc2
7219,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Jeremy Doku,11,BEL,LM,21-266,90,2,2,0,2,0,0,0,,0,1,0,1,0,2,0,0,78fb7fc2
7220,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Julián Álvarez,19,ARG,CM,24-017,63,1,0,0,1,0,1,2,50.0,1,2,0,2,0,1,1,0,78fb7fc2
7221,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Kevin De Bruyne,17,BEL,CM,32-234,90,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,78fb7fc2
7222,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Kyle Walker,2,ENG,RB,33-265,90,1,0,0,0,1,1,2,50.0,1,0,0,0,2,3,3,0,78fb7fc2
7223,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Manuel Akanji,25,SUI,CB,28-213,90,1,1,0,1,0,1,1,100.0,0,2,1,1,1,2,1,0,78fb7fc2
7224,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Nathan Aké,6,NED,LB,28-364,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,78fb7fc2
7225,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Phil Foden,47,ENG,RM,23-265,90,3,1,0,1,2,1,1,100.0,0,1,0,1,1,4,0,0,78fb7fc2
7226,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Rodri,16,ESP,DM,27-240,90,3,3,0,3,0,0,0,,0,2,0,2,0,3,0,0,78fb7fc2
7227,ENG-Premier League,2324,2024-02-17 Manchester City-Chelsea,Manchester City,Rúben Dias,3,POR,CB,26-279,90,3,1,1,2,0,0,0,,0,0,0,0,0,3,4,0,78fb7fc2
7420,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Bernardo Silva,20,POR,"DM,CM",29-194,90,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,af88a1aa
7421,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Ederson,31,BRA,GK,30-187,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,af88a1aa
7422,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Erling Haaland,9,NOR,FW,23-214,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,af88a1aa
7423,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Jeremy Doku,11,BEL,LW,21-269,30,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,af88a1aa
7424,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,John Stones,5,ENG,CB,29-268,90,0,0,0,0,0,0,0,,0,0,0,0,2,2,3,0,af88a1aa
7425,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Julián Álvarez,19,ARG,AM,24-020,88,2,2,1,0,1,0,0,,0,2,0,2,0,2,0,0,af88a1aa
7426,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Kyle Walker,2,ENG,RB,33-268,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,af88a1aa
7427,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Manuel Akanji,25,SUI,LB,28-216,90,1,1,0,0,1,1,2,50.0,1,2,1,1,2,3,4,0,af88a1aa
7428,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Mateo Kovačić,8,CRO,"LM,AM",29-290,2,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,af88a1aa
7429,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Oscar Bobb,52,NOR,LW,20-223,60,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,af88a1aa
7430,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Phil Foden,47,ENG,RW,23-268,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,af88a1aa
7431,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Rodri,16,ESP,"DM,RM",27-243,90,1,1,0,1,0,0,1,0.0,1,0,0,0,1,2,5,0,af88a1aa
7432,ENG-Premier League,2324,2024-02-20 Manchester City-Brentford,Manchester City,Rúben Dias,3,POR,CB,26-282,90,1,0,1,0,0,1,1,100.0,0,0,0,0,3,4,6,0,af88a1aa
7543,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Bernardo Silva,20,POR,RW,29-198,90,1,1,1,0,0,1,1,100.0,0,0,0,0,2,3,0,0,f6d6a212
7544,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Ederson,31,BRA,GK,30-191,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,f6d6a212
7545,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-218,74,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,f6d6a212
7546,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Jeremy Doku,11,BEL,LW,21-273,28,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0,f6d6a212
7547,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,John Stones,5,ENG,DM,29-272,90,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,f6d6a212
7548,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Julián Álvarez,19,ARG,FW,24-024,16,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,f6d6a212
7549,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Kevin De Bruyne,17,BEL,CM,32-241,7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,f6d6a212
7550,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Manuel Akanji,25,SUI,RB,28-220,90,3,3,1,1,1,3,4,75.0,1,2,1,1,2,5,5,0,f6d6a212
7551,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Mateo Kovačić,8,CRO,CM,29-294,83,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,f6d6a212
7552,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Matheus Nunes,27,POR,LW,25-181,62,1,0,0,0,1,1,1,100.0,0,2,0,2,0,1,1,0,f6d6a212
7553,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Nathan Aké,6,NED,LB,29-006,90,1,0,0,1,0,1,2,50.0,1,2,1,1,0,1,0,0,f6d6a212
7554,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Phil Foden,47,ENG,CM,23-272,90,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0,f6d6a212
7555,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Rodri,16,ESP,DM,27-247,90,2,1,1,1,0,1,3,33.3,2,2,1,1,0,2,3,0,f6d6a212
7556,ENG-Premier League,2324,2024-02-24 Bournemouth-Manchester City,Manchester City,Rúben Dias,3,POR,CB,26-286,90,2,1,2,0,0,2,2,100.0,0,1,1,0,1,3,4,0,f6d6a212
7946,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Bernardo Silva,20,POR,"CM,LW",29-206,90,0,0,0,0,0,0,3,0.0,3,0,0,0,4,4,0,0,615eff06
7947,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Ederson,31,BRA,GK,30-199,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,615eff06
7948,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Erling Haaland,9,NOR,FW,23-226,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,615eff06
7949,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Jeremy Doku,11,BEL,LW,21-281,58,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,615eff06
7950,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,John Stones,5,ENG,DM,29-280,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,615eff06
7951,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Julián Álvarez,19,ARG,CM,24-032,32,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,615eff06
7952,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Kevin De Bruyne,17,BEL,CM,32-249,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,615eff06
7953,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Kyle Walker,2,ENG,RB,33-280,90,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0,615eff06
7954,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Nathan Aké,6,NED,LB,29-014,90,1,1,0,0,1,0,0,,0,0,0,0,1,2,1,0,615eff06
7955,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Oscar Bobb,52,NOR,RW,20-235,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,615eff06
7956,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Phil Foden,47,ENG,RW,23-280,89,1,0,1,0,0,1,2,50.0,1,2,0,2,1,2,0,0,615eff06
7957,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Rodri,16,ESP,DM,27-255,90,2,1,0,1,1,1,3,33.3,2,0,0,0,0,2,0,0,615eff06
7958,ENG-Premier League,2324,2024-03-03 Manchester City-Manchester Utd,Manchester City,Rúben Dias,3,POR,CB,26-294,90,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,615eff06
8236,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Bernardo Silva,20,POR,CM,29-213,90,2,1,1,1,0,0,1,0.0,1,3,0,3,1,3,1,0,96da3e29
8237,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Ederson,31,BRA,GK,30-206,55,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,96da3e29
8238,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-233,90,1,1,0,0,1,0,0,,0,0,0,0,0,1,1,0,96da3e29
8239,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Jeremy Doku,11,BEL,LW,21-288,22,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,96da3e29
8240,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,John Stones,5,ENG,DM,29-287,90,0,0,0,0,0,0,0,,0,2,2,0,1,1,3,0,96da3e29
8241,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Julián Álvarez,19,ARG,LW,24-039,68,1,0,0,0,1,1,1,100.0,0,0,0,0,0,1,0,1,96da3e29
8242,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Kevin De Bruyne,17,BEL,CM,32-256,68,0,0,0,0,0,0,2,0.0,2,1,0,1,1,1,0,0,96da3e29
8243,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-287,90,3,3,2,1,0,2,5,40.0,3,3,0,3,3,6,3,0,96da3e29
8244,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Manuel Akanji,25,SUI,CB,28-235,90,1,1,1,0,0,0,0,,0,0,0,0,3,4,4,0,96da3e29
8245,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Mateo Kovačić,8,CRO,CM,29-309,22,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,96da3e29
8246,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Nathan Aké,6,NED,LB,29-021,90,3,3,2,1,0,1,1,100.0,0,1,1,0,2,5,5,0,96da3e29
8247,ENG-Premier League,2324,2024-03-10 Liverpool-Manchester City,Manchester City,Phil Foden,47,ENG,RW,23-287,90,1,1,0,1,0,0,0,,0,0,0,0,0,1,1,0,96da3e29
