,league,season,game,team,player,jersey_number,nation,pos,age,min,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Int,Tkl+Int,Clr,Err,game_id
,,,,,,,,,,,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,,,,,
1046,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Jeremy Doku,11,BEL,RW,21-098,75,3,2,0,2,1,1,1,100.0,0,0,0,0,2,5,1,0,88066bdf
1047,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Julián Álvarez,19,ARG,AM,23-214,89,1,1,0,1,0,0,1,0.0,1,1,0,1,0,1,0,0,88066bdf
1048,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Kalvin Phillips,4,ENG,DM,27-274,7,1,1,1,0,0,0,0,,0,0,0,0,0,1,0,0,88066bdf
1049,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Kyle Walker,2,ENG,RB,33-097,90,1,0,0,1,0,1,1,100.0,0,0,0,0,0,1,1,0,88066bdf
1050,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Manuel Akanji,25,SUI,CB,28-045,90,2,2,0,1,1,1,2,50.0,1,0,0,0,1,3,2,0,88066bdf
1051,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Mateo Kovačić,8,CRO,DM,29-119,83,1,1,0,1,0,0,0,,0,0,0,0,1,2,1,0,88066bdf
1052,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Nathan Aké,6,NED,LB,28-196,90,2,1,1,1,0,0,0,,0,0,0,0,1,3,1,0,88066bdf
1053,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Oscar Bobb,52,NOR,RW,20-052,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,88066bdf
1054,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Phil Foden,47,ENG,"LW,RW",23-097,89,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,88066bdf
1055,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Rico Lewis,82,ENG,AM,18-285,1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,88066bdf
1056,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Rodri,16,ESP,DM,27-072,75,1,0,1,0,0,1,1,100.0,0,1,0,1,1,2,2,0,88066bdf
1057,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Rúben Dias,3,POR,CB,26-111,90,4,2,3,1,0,1,2,50.0,1,0,0,0,2,6,1,0,88066bdf
1058,ENG-Premier League,2324,2023-09-02 Manchester City-Fulham,Manchester City,Sergio Gómez,21,ESP,LW,22-363,15,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,88066bdf
1327,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Bernardo Silva,20,POR,"DM,RW",29-037,89,1,0,1,0,0,1,4,25.0,3,0,0,0,0,1,0,0,64c0a6e2
1328,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Ederson,31,BRA,GK,30-030,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,64c0a6e2
1329,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Erling Haaland,9,NOR,FW,23-057,89,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,64c0a6e2
1330,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Jeremy Doku,11,BEL,LW,21-112,89,2,2,1,1,0,0,0,,0,2,0,2,0,2,0,0,64c0a6e2
1331,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Joško Gvardiol,24,CRO,LB,21-236,89,1,1,0,1,0,1,1,100.0,0,1,0,1,0,1,1,0,64c0a6e2
1332,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Julián Álvarez,19,ARG,AM,23-228,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,64c0a6e2
1333,ENG-Premier League,2324,2023-09-16 West Ham-Manchester City,Manchester City,Kyle Walker,2,ENG,RB,33-111,90,3,2,2,1,0,1,1,100.0,0,1,0,1,1,4,3,0,64c0a6e2
